Name,Type1,Type2,Level,HP,Atk,Def,Spd,EvolvesFrom,EvolvesTo,EvoLevel,EvoMethod,EvoStone,Ability1,Ability1Desc,Ability2,Ability2Desc
1,Bulbasaur,Grass,Poison,15,45,49,49,45,0,2,16,level,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.
2,Ivysaur,Grass,Poison,16,60,62,63,60,1,3,32,level,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.
3,Venusaur,Grass,Poison,32,80,82,83,80,2,0,0,,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.
4,Charmander,Fire,,8,39,52,43,65,0,5,16,level,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,Solar Power,"Boosts Sp. Atk in harsh sunlight, but loses HP each turn."
5,Charmeleon,Fire,,16,58,64,58,80,4,6,36,level,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,Solar Power,"Boosts Sp. Atk in harsh sunlight, but loses HP each turn."
6,Charizard,Fire,Flying,36,78,84,78,100,5,0,0,,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,Solar Power,"Boosts Sp. Atk in harsh sunlight, but loses HP each turn."
7,Squirtle,Water,,3,44,48,65,43,0,8,16,level,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,Rain Dish,The Pokemon gradually regains HP in rain.
8,Wartortle,Water,,16,59,63,80,58,7,9,36,level,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,Rain Dish,The Pokemon gradually regains HP in rain.
9,Blastoise,Water,,36,79,83,100,78,8,0,0,,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,Rain Dish,The Pokemon gradually regains HP in rain.
10,Caterpie,Bug,,2,45,30,35,45,0,11,7,level,,Shield Dust,Blocks the additional effects of attacks taken.,Run Away,Enables a sure getaway from wild Pokemon.
11,Metapod,Bug,,7,50,20,55,30,10,12,10,level,,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,,
12,Butterfree,Bug,Flying,10,60,45,50,70,11,0,0,,,Compoundeyes,Boosts the Pokemon's accuracy.,Tinted Lens,"Powers up ""not very effective"" moves."
13,Weedle,Bug,Poison,4,40,35,30,50,0,14,7,level,,Shield Dust,Blocks the additional effects of attacks taken.,Run Away,Enables a sure getaway from wild Pokemon.
14,Kakuna,Bug,Poison,7,45,25,50,35,13,15,10,level,,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,,
15,Beedrill,Bug,Poison,10,65,80,40,75,14,0,0,,,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Sniper,Powers up moves if they become critical hits.
16,Pidgey,Normal,Flying,5,40,45,40,56,0,17,18,level,,Keen Eye,Prevents other Pokemon from lowering accuracy.,Tangled Feet,Raises Speed if the Pokemon is confused.
17,Pidgeotto,Normal,Flying,18,63,60,55,71,16,18,36,level,,Keen Eye,Prevents other Pokemon from lowering accuracy.,Tangled Feet,Raises Speed if the Pokemon is confused.
18,Pidgeot,Normal,Flying,36,83,80,75,91,17,0,0,,,Keen Eye,Prevents other Pokemon from lowering accuracy.,Tangled Feet,Raises Speed if the Pokemon is confused.
19,Rattata,Normal,,3,30,56,35,72,0,20,20,level,,Run Away,Enables a sure getaway from wild Pokemon.,Guts,Boosts the Attack stat if the Pokemon has a status condition.
20,Raticate,Normal,,20,55,81,60,97,19,0,0,,,Run Away,Enables a sure getaway from wild Pokemon.,Guts,Boosts the Attack stat if the Pokemon has a status condition.
21,Spearow,Normal,Flying,5,40,60,30,70,0,22,20,level,,Keen Eye,Prevents other Pokemon from lowering accuracy.,Sniper,Powers up moves if they become critical hits.
